Name,Type,Formulation,Route
Astepro,,,Topical_spray
Atrovent (Nasal Spray),,,Topical_spray
Atrovent HFA 17 mcg,Rescue,puff,Inhaled
Atrovent Solution 250 mcg ,Rescue,vial,Inhaled
Atrovent Solution 500 mcg ,Rescue,vial,Inhaled
Azmacort Inhalation Aerosol 75 to 150 mcg,Controller,puff,Inhaled
Azmacort Inhalation Aerosol 150 to 300 mcg ,Controller,puff,Inhaled
Bambuterol 10mg,Controller,pill,Oral
Bambuterol 20mg,Controller,pill,Oral
Beclomethasone,,,
Beclomethasone HFA 40 mcg,Controller,puff,Inhaled
Breo Ellipta 100 mcg/25 mcg,Controller,puff,Inhaled
Breo Ellipta 200 mcg/25 mcg,Controller,puff,Inhaled
Budesonide/Formoterol Fumarate Dihydrate 80/4.5 mcg,Controller,puff,Inhaled
Budesonide/Formoterol Fumarate Dihydrate 160/4.5 mcg,Controller,puff,Inhaled
Budesonide Inhalation Suspension 0.5mg/2ml,Controller,vial,Nebulizer
Budesonide Inhalation Suspension 0.25mg/2ml,Controller,vial,Nebulizer
Budesonide Inhalation Suspension 1mg/2ml,Controller,vial,Oral
Budesonide 2mg,Controller,vial,Oral
Budesonide 90 mcg,Controller,puff,Inhaled
Budesonide 200 mcg,Controller,puff,Inhaled
Budesonide/ Formoterol 160/4.5,Controller,puff,Inhaled
Budesonide/Formoterol 80/4.5,Controller,puff,Inhaled
Ciclesonide 80 mcg,Controller,puff,Inhaled
Ciclesonide 160 mcg,Controller,puff,Inhaled
Ciclesonide 320 mcg,Controller,puff,Inhaled
Cinqair,Controller,injection,Injection
Combivent Inhalation Aerosol 20mcg/100 mcg,Controller,puff,Inhaled
Cromolyn Sodium Solution 800 mcg/spray,Controller,puff,Inhaled
"Cromolyn Aerosol Liquid, Powder 20mg",Controller,vial,Nebulizer
Dulera 100 mcg/5 mcg,Controller,puff,Inhaled
Dulera 200 mcg/5 mcg,Controller,puff,Inhaled
Flovent Diskus 50 mcg,Controller,puff,Inhaled
Flovent Diskus 100 mcg,Controller,puff,Inhaled
Flovent Diskus 250 mcg,Controller,puff,Inhaled
Flovent HFA 44,Controller,puff,Inhaled
Flovent HFA 110,Controller,puff,Inhaled
Flovent HFA 220,Controller,puff,Inhaled
Flunisolide HFA 80 mcg,Controller,puff,Inhaled
Flunisolide HFA 250 mcg,Controller,puff,Inhaled
Fluticasone HFA 44,Controller,puff,Inhaled
Fluticasone HFA 110,Controller,puff,Inhaled
Fluticasone HFA 220,Controller,puff,Inhaled
Fluticasone Diskus 50 mcg,Controller,puff,Inhaled
Fluticasone Diskus 100 mcg,Controller,puff,Inhaled
Fluticasone Diskus 250 mcg,Controller,puff,Inhaled
Fluticasone/salmeterol 100 mcg/50 mcg,Controller,puff,Inhaled
Fluticasone/salmeterol 250 mcg/50 mcg,Controller,puff,Inhaled
Fluticasone/salmeterol 500 mcg/50 mcg,Controller,puff,Inhaled
Fluticasone/salmeterol HFA 45 mcg/21 mcg,Controller,puff,Inhaled
Fluticasone/salmeterol HFA 115 mcg/21 mcg,Controller,puff,Inhaled
Fluticasone/salmeterol HFA 230 mcg/21 mcg,Controller,puff,Inhaled
Foradil 12 mcg,Controller,puff,Inhaled
Formoterol 6 mcg,Controller,puff,Inhaled
Formoterol 12 mcg,Controller,puff,Inhaled
Intal 800 mcg,Controller,puff,Inhaled
Ipratropium Bromide HFA 17 mcg,Rescue,puff,Inhaled
Ipratropium Bromide Nebulizer 0.02% 250-500 mcg,Rescue,vial,Inhaled
Ipratropium Bromide Nebulizer 0.02% 500 mcg,Rescue,vial,Inhaled
Levalbuterol HCL 45 mcg,Rescue,puff,Inhaled
Levalbuterol HCL 90 mcg,Rescue,puff,Inhaled
Maxair Autoinhaler 200 mcg,Rescue,puff,Inhaled
Metaproterenol Sulfate Tablet 10mg,Rescue,pill,Oral
Metaproterenol Sulfate Tablet 20mg,Rescue,pill,Oral
Metaproterenol Sulfate Nebulizer 0.4%,Rescue,vial,Inhaled
Metaproterenol Sulfate Nebulizer 0.6%,Rescue,vial,Inhaled
Mometasone Furoate 100 mcg,Controller,puff,Inhaled
Mometasone Furoate 200 mcg,Controller,puff,Inhaled
Mometasone/Formoterol 100 mcg/5 mcg,Controller,puff,Inhaled
Mometasone/Formoterol 200 mcg/5 mcg,Controller,puff,Inhaled
Montelukast (Chewable) 4mg,Controller,pill,Oral
Montelukast (Chewable) 5mg,Controller,pill,Oral
Montelukast 10mg,Controller,pill,Oral
Montelukast (Granules) 4mg,Controller,pill,Oral
Nedocromil  (1.75mg/spray),Controller,puff,Inhaled
Nucala 100mg,Controller,injection,Injection
Omalizumab,Controller,injection,Injection
Orapred (solution) 5mg/5ml,Controller,suspension,Oral
Orapred (solution) 10mg/5ml,Controller,suspension,Oral
Orapred (solution) 15mg/5ml,Controller,suspension,Oral
Orapred (solution) 20mg/5ml,Controller,suspension,Oral
Orapred (solution) 25mg/5ml,Controller,suspension,Oral
"Orapred (tablet, dose pack) 5mg (6 days/21 tabs)",Controller,pill,Oral
"Orapred (tablet, dose pack) 5mg (12 days/48 tabs)",Controller,pill,Oral
Pirbuterol 200 mcg,Rescue,puff,Inhaled
Pirbuterol Acetate 0.2-0.4 mg ,Rescue,puff,Inhaled
Prednisolone Syrup 15mg/5ml,Controller,suspension,Oral
Prednisolone (solution) 15mg/5ml,Controller,suspension,Oral
Prednisolone (solution) 25mg/5ml,Controller,suspension,Oral
Prednisone (solution) 40 to 60mg,Controller,pill,Oral
Prednisone (solution) 40 to 80mg,Controller,pill,Oral
Prednisone (solution) 1 to 2mg,Controller,pill,Oral
Prelone Oral Syrup (solution) 15mg/5ml,Controller,suspension,Oral
ProAir HFA 90 mcg,Rescue,puff,Inhaled
ProAir RespiClick 180 mcg,Rescue,puff,Inhaled
Proventil HFA 90 mcg,Rescue,puff,Inhaled
Pulimicort (Flexhaler) 90 mcg,Controller,puff,Inhaled
Pulimicort (Flexhaler) 180 mcg,Controller,puff,Inhaled
Pulimicort Respules 0.25mg/2ml,Controller,puff,Inhaled
Pulimicort Respules 0.5mg/2ml,Controller,puff,Inhaled
Pulimicort Respules 1mg/2ml,Controller,vial,Inhaled
QVAR Inhalation Aerosol 40 mcg,Controller,puff,Inhaled
QVAR Inhalation Aerosol 80 mcg,Controller,puff,Inhaled
Reslizumab,Controller,injection,Injection
Salmeterol Xinafoate 50 mcg,Controller,puff,Inhaled
Serevent Diskus 50 mcg,Controller,puff,Inhaled
Singulair 4mg (Granules),Controller,pill,Oral
Singulair 4mg (Chewable),Controller,pill,Oral
Singulair 5mg (Chewable),Controller,pill,Oral
Singulair 10mg (Tablet),Controller,pill,Oral
Spiriva Respimat 2.5 mcg,Controller,puff,Inhaled
Spiriva Respimat 5 mcg,Controller,puff,Inhaled
Spiriva Handihaler 18 mcg,Controller,puff,Inhaled
Symbicort 160 mcg/4.5 mcg,Controller,puff,Inhaled
Symbicort 80 mcg/4.5 mcg,Controller,puff,Inhaled
Theo-24 100mg,Controller,pill,Oral
Theo-24 ER 200mg,Controller,pill,Oral
Theo-24 ER 300mg,Controller,pill,Oral
Theo-24 ER 400mg,Controller,pill,Oral
"Elixophylline/Theophylline, Anhydrous 15ml, 80mg",Controller,pill,Oral
Theophylline ER 100mg/daily,Controller,pill,Oral
Theophylline ER 200mg/daily,Controller,pill,Oral
Theophylline ER 300mg/daily,Controller,pill,Oral
Theophylline ER 450mg/daily,Controller,pill,Oral
Theophylline ER 600mg/daily,Controller,pill,Oral
Theophylline 10mg/kg/daily,Controller,pill,Oral
Theophylline 13mg/kg/daily,Controller,pill,Oral
Theophylline 16mg/kg/daily,Controller,pill,Oral
Theophylline (solution) 80 mg/15ml,Controller,suspension,Oral
Tiotropium Bromide Inhalation powder hard capsue 18mcg,Controller,puff,Inhaled
Tiotropium Bromide Inhalation Solution 2.5 mcg/inh,Controller,puff,Inhaled
Tiotropium Bromide Inhalation powder 1.25 mcg/inh,Controller,puff,Inhaled
Umeclidinium 62.5 mcg,Controller,puff,Inhaled
Ventolin HFA 90 mcg,Rescue,puff,Inhaled
VoSpire ER 4mg,Rescue,pill,Oral
VoSpire ER 8mg ,Rescue,pill,Oral
Xolair,Controller,injection,Injection
Xopenex HFA 45 mcg,Rescue,puff,Inhaled
Xopenex HFA 90 mcg,Rescue,puff,Inhaled
Xopenex Inhalation Solution 0.31mg,Rescue,vial,Inhaled
Xopenex Inhalation Solution 0.63mg,Rescue,vial,Inhaled
Zarfirlukast 10mg,Controller,pill,Oral
Zarfirlukast 20mg,Controller,pill,Oral
Zileuton 600mg,Controller,pill,Oral
Zyflo CR 600mg,Controller,pill,Oral
